A,B,C,D
Ce3+,Re4+,Li1+,O2-
Pr3+,Re4+,Li1+,O2-
Nd3+,Re4+,Li1+,O2-
Sm3+,Re4+,Li1+,O2-
Eu3+,Re4+,Li1+,O2-
Mn1+,I7+,Li1+,O2-
Na1+,I7+,Li1+,O2-
Gd3+,Re4+,Li1+,O2-
Tb3+,Re4+,Li1+,O2-
Dy3+,Re4+,Li1+,O2-
Ho3+,Re4+,Li1+,O2-
Er3+,Re4+,Li1+,O2-
Tm3+,Re4+,Li1+,O2-
Yb3+,Re4+,Li1+,O2-
Lu3+,Re4+,Li1+,O2-
Sc3+,Cr4+,Li1+,O2-
Ti3+,Te4+,Li1+,O2-
Hg1+,Re7+,Li1+,O2-
Sc3+,P4+,Li1+,O2-
Mn3+,Te4+,Li1+,O2-
Ta5+,Au1+,Li1+,O2-
Ti3+,W4+,Li1+,O2-
In1+,Br7+,Li1+,O2-
Mn5+,Rb1+,Li1+,O2-
Mn3+,W4+,Li1+,O2-
Cr5+,Re1+,Li1+,O2-
Cr3+,Re4+,Li1+,O2-
Sc3+,Re4+,Li1+,O2-
K1+,Mn7+,Li1+,O2-
Zr3+,Mo4+,Li1+,O2-
Y3+,Mo4+,Li1+,O2-
In3+,Ta4+,Li1+,O2-
K1+,Cl7+,Li1+,O2-
V5+,K1+,Li1+,O2-
Zr3+,W4+,Li1+,O2-
Zr3+,Te4+,Li1+,O2-
Y3+,W4+,Li1+,O2-
Y3+,Te4+,Li1+,O2-
Co3+,Mo4+,Li1+,O2-
Fe3+,Ta4+,Li1+,O2-
Co1+,I7+,Li1+,O2-
Co3+,W4+,Li1+,O2-
Mn1+,Br7+,Li1+,O2-
Co3+,Te4+,Li1+,O2-
Ti3+,Ta4+,Li1+,O2-
Mn3+,Ta4+,Li1+,O2-
Ta3+,Pb4+,Li1+,O2-
Na1+,Br7+,Li1+,O2-
La3+,Mo4+,Li1+,O2-
Ce3+,Mo4+,Li1+,O2-
Pr3+,Mo4+,Li1+,O2-
Nd3+,Mo4+,Li1+,O2-
Sm3+,Mo4+,Li1+,O2-
Eu3+,Mo4+,Li1+,O2-
Gd3+,Mo4+,Li1+,O2-
Tb3+,Mo4+,Li1+,O2-
Dy3+,Mo4+,Li1+,O2-
Ho3+,Mo4+,Li1+,O2-
Er3+,Mo4+,Li1+,O2-
Tm3+,Mo4+,Li1+,O2-
Yb3+,Mo4+,Li1+,O2-
Lu3+,Mo4+,Li1+,O2-
