Pretty Formula,A,B,C,D,sus_factor
Li7Fe3(OsO6)2,Fe1+,Os1+,Li1+,O1-,5068.380069969266
Li7Tl3(MoO6)2,Tl1+,Mo1+,Li1+,O1-,5071.204054438286
Li7Tl3(MoO6)2,Tl3+,Mo2-,Li1+,O1-,5071.204054438286
Li7Tl3(MoO6)2,Tl3+,Mo4+,Li1+,O2-,5071.204054438286
Li7Zn3(IrO6)2,Zn1+,Ir1+,Li1+,O1-,5079.195407729378
Li7Zn3(IrO6)2,Zn1+,Ir7+,Li1+,O2-,5079.195407729378
Rb3Li7Nb2O12,Rb1+,Nb1+,Li1+,O1-,5087.368249806282
Li7Fe3(IrO6)2,Fe1+,Ir7+,Li1+,O2-,5088.5954278146655
Li7Fe3(IrO6)2,Fe3+,Ir4+,Li1+,O2-,5088.5954278146655
Li7Fe3(IrO6)2,Fe5+,Ir1+,Li1+,O2-,5088.5954278146655
Li7Fe3(IrO6)2,Fe1+,Ir1+,Li1+,O1-,5088.5954278146655
Li7Nb3(CO6)2,Nb1+,C1+,Li1+,O1-,5088.712364422065
Li7Nb3(CO6)2,Nb3+,C4+,Li1+,O2-,5088.712364422065
Li7Nb3(CO6)2,Nb5+,C1+,Li1+,O2-,5088.712364422065
Li7Nb3(CO6)2,Nb3+,C2-,Li1+,O1-,5088.712364422065
Li7Ta2Nb3O12,Nb3+,Ta4+,Li1+,O2-,5095.230236859118
Li7Ta2Nb3O12,Nb1-,Ta4+,Li1+,O1-,5095.230236859118
Li7Nb3Cr2O12,Nb3+,Cr4+,Li1+,O2-,5100.599138951341
Li7Nb3Cr2O12,Nb5+,Cr1+,Li1+,O2-,5100.599138951341
Li7Nb3Cr2O12,Nb1+,Cr1+,Li1+,O1-,5100.599138951341
Li7Nb3Cr2O12,Nb3+,Cr2-,Li1+,O1-,5100.599138951341
Cs3Li7Tl2O12,Cs1+,Tl1+,Li1+,O1-,5104.029129083191
Li7Zn3(PtO6)2,Zn1+,Pt1+,Li1+,O1-,5107.074484010879
Li7Bi5O12,Bi1+,Bi1+,Li1+,O1-,5110.514827981229
Li7Bi5O12,Bi5+,Bi1+,Li1+,O2-,5110.514827981229
Li7Bi5O12,Bi1+,Bi7+,Li1+,O2-,5110.514827981229
K3Li7Nb2O12,K1+,Nb1+,Li1+,O1-,5112.74872515912
Li7Fe3(PtO6)2,Fe3+,Pt4+,Li1+,O2-,5117.409018458121
Li7Fe3(PtO6)2,Fe1+,Pt1+,Li1+,O1-,5117.409018458121
Li7Fe3(PtO6)2,Fe3+,Pt2-,Li1+,O1-,5117.409018458121
Li7Fe3(PtO6)2,Fe5+,Pt1+,Li1+,O2-,5117.409018458121
Cs3Li7(RuO6)2,Cs1+,Ru7+,Li1+,O2-,5121.57684811499
Cs3Li7(RuO6)2,Cs1+,Ru1+,Li1+,O1-,5121.57684811499
Cs3Li7(RhO6)2,Cs1+,Rh1+,Li1+,O1-,5134.08022276908
Li7Nb3(IO6)2,Nb1+,I7+,Li1+,O2-,5136.505844436613
Li7Nb3(IO6)2,Nb3+,I4+,Li1+,O2-,5136.505844436613
Li7Nb3(IO6)2,Nb5+,I1+,Li1+,O2-,5136.505844436613
Li7Nb3(IO6)2,Nb1+,I1+,Li1+,O1-,5136.505844436613
Sr3Li7(OsO6)2,Sr1+,Os7+,Li1+,O2-,5148.578832125542
Sr3Li7(OsO6)2,Sr1+,Os1+,Li1+,O1-,5148.578832125542
Cs3Li7(PdO6)2,Cs1+,Pd1+,Li1+,O1-,5157.720283080344
Li7Mn3(OsO6)2,Mn1+,Os7+,Li1+,O2-,5164.971583427905
